,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
10430190,0,24.56,24.57,24.58,24.59,24.6,22500,13400,40100,62800,261300,24.55,24.54,24.53,24.52,24.51,31000,5700,14300,7700,11600,0,2953556,48978000,0,24.75,0,24.56,48978538,738389,23.76,74399,23.9,,23.82,0,0,000002.SZ,13716981,5523570,20210706,1667704833,68459140,25.34,23.68
10433188,0,24.56,24.57,24.58,24.59,24.6,26300,13400,40100,62800,262000,24.55,24.54,24.53,24.52,24.51,49700,5700,14300,7700,11600,0,1821308,48981000,0,24.75,0,24.55,48981534,455327,23.76,74403,23.9,,23.82,0,0,000002.SZ,13720381,5539170,20210706,1667734293,68460340,25.34,23.68
10436179,0,24.56,24.57,24.58,24.59,24.6,25500,13400,41200,64800,262100,24.55,24.54,24.53,24.52,24.51,44400,5500,14300,7700,11600,0,3363876,48984000,0,24.75,0,24.55,48984590,840969,23.76,74411,23.9,,23.82,0,0,000002.SZ,13731881,5533670,20210706,1667886538,68466540,25.33,23.68
10439095,0,24.56,24.57,24.58,24.59,24.6,26400,15400,41200,64700,262100,24.55,24.54,24.53,24.52,24.51,50500,5500,14300,7800,11600,0,56604,48987000,0,24.75,0,24.55,48987586,14151,23.76,74414,23.9,,23.82,0,0,000002.SZ,13733781,5538570,20210706,1667933183,68468440,25.33,23.68
10442006,0,24.56,24.57,24.58,24.59,24.6,29000,15400,41600,66500,262700,24.55,24.54,24.53,24.52,24.51,35000,5500,14300,7800,11600,0,3599192,48990000,0,24.75,0,24.56,48990581,899798,23.76,74439,23.9,,23.82,0,0,000002.SZ,13742181,5523570,20210706,1668389856,68487040,25.33,23.68
10444919,0,24.56,24.57,24.58,24.59,24.6,31200,15400,41600,66500,263300,24.55,24.54,24.53,24.52,24.51,41000,5500,14200,7800,11600,0,124212,48993000,0,24.75,0,24.55,48993577,31053,23.76,74441,23.9,,23.82,0,0,000002.SZ,13729281,5529670,20210706,1668397221,68487340,25.33,23.68
10447866,0,24.56,24.57,24.58,24.59,24.6,32200,15400,45900,66500,263300,24.55,24.54,24.53,24.52,24.51,46100,5500,14200,7800,11600,0,1462524,48996000,0,24.75,0,24.56,48996572,365631,23.76,74448,23.9,,23.82,0,0,000002.SZ,13721981,5531470,20210706,1668500333,68491540,25.33,23.68
10450767,0,24.56,24.57,24.58,24.59,24.6,27400,15400,45900,65000,263300,24.55,24.54,24.53,24.52,24.51,45300,5500,14200,7800,11600,0,910980,48999000,0,24.75,0,24.55,48999567,227745,23.76,74470,23.9,,23.82,0,0,000002.SZ,13716181,5525170,20210706,1668718872,68500440,25.34,23.68
10453661,0,24.56,24.57,24.58,24.59,24.6,18500,15400,45900,65000,263300,24.55,24.54,24.53,24.52,24.51,51900,5500,14200,7800,11600,0,75868,49002000,0,24.75,0,24.55,49002563,18967,23.76,74484,23.9,,23.82,0,0,000002.SZ,13707781,5532170,20210706,1668989022,68511440,25.34,23.68
10456576,0,24.56,24.57,24.58,24.59,24.6,27100,15400,45900,65000,253100,24.55,24.54,24.53,24.52,24.51,50500,5500,14200,7800,12200,0,88956,49005000,0,24.75,0,24.55,49005558,22239,23.76,74503,23.9,,23.82,0,0,000002.SZ,13707781,5528870,20210706,1669313182,68524640,25.34,23.68
